seed_a,seed_b,spearman,jaccard_top5,jaccard_top10
6,15,0.933022,0.644444,0.580645
6,16,0.95823,0.626374,0.699422
6,17,0.956693,0.591398,0.68
6,18,0.945647,0.626374,0.642458
6,19,0.941587,0.591398,0.597826
6,20,0.948317,0.557895,0.670455
6,21,0.947048,0.626374,0.670455
6,22,0.945767,0.644444,0.597826
6,23,0.944679,0.525773,0.572193
6,24,0.942975,0.608696,0.709302
6,25,0.9443,0.591398,0.670455
6,26,0.947045,0.608696,0.642458
6,27,0.940201,0.644444,0.597826
6,28,0.950169,0.591398,0.670455
6,29,0.938295,0.608696,0.615385
7,8,0.949522,0.557895,0.68
7,9,0.941379,0.662921,0.624309
7,10,0.9522,0.626374,0.689655
7,11,0.944603,0.701149,0.670455
7,12,0.941294,0.591398,0.68
7,13,0.943639,0.525773,0.661017
7,14,0.946207,0.591398,0.68
7,15,0.928767,0.591398,0.624309
7,16,0.952882,0.626374,0.68
7,17,0.946225,0.591398,0.651685
7,18,0.949716,0.608696,0.670455
7,19,0.940081,0.574468,0.689655
7,20,0.93707,0.541667,0.699422
7,21,0.950004,0.701149,0.689655
7,22,0.936234,0.574468,0.624309
7,23,0.939484,0.557895,0.624309
7,24,0.945497,0.574468,0.661017
7,25,0.947229,0.591398,0.689655
7,26,0.953587,0.626374,0.68
7,27,0.945177,0.608696,0.661017
7,28,0.941853,0.626374,0.670455
7,29,0.949389,0.681818,0.651685
